Player ID,First Name,Last Name,Assigned Position,Primary Position,Secondary Position,Salary ($),Total Points,Average Points
293957,Brodie,Grundy,RUC,RUC,,997000,2234,97.1
1009399,Luke,Jackson,RUC,RUC,FWD,807000,1808,78.6
1009380,Jeremy,Sharp,MID,MID,,749000,1680,73.0
1025034,Oliver,Dempsey,MID,MID,,747000,1674,72.8
1003130,Patrick,Lipinski,MID,MID,FWD,705000,1580,68.7
993816,Darcy,Tucker,MID,DEF,MID,703000,1576,68.5
1027875,Darcy,Wilson,MID,MID,FWD,671000,1505,65.4
1006114,Bailey J.,Williams,RUC,RUC,,656000,1467,63.8
1013409,James,Jordon,MID,MID,FWD,625000,1400,60.9
1023708,Jaspa,Fletcher,MID,MID,,620000,1390,60.4
1005326,Jackson,Mead,MID,MID,FWD,619000,1387,60.3
1023025,Reuben,Ginbey,MID,MID,,617000,1383,60.1
1002947,Paul,Curtis,FWD,FWD,,578000,1299,56.5
999326,Brad,Close,FWD,FWD,,574000,1286,55.9
1001017,Nick,Larkey,FWD,FWD,,567000,1272,55.3
1000937,Jack,Henry,DEF,DEF,,559000,1254,54.5
1002143,Ben,McKay,DEF,DEF,,556000,1247,54.2
295446,Sam,Collins,DEF,DEF,,549000,1233,53.6
1008089,Isaac,Quaynor,DEF,DEF,,546000,1224,53.2
1004034,Brandon,Zerk-Thatcher,DEF,DEF,,517000,1158,50.3
1008882,Charlie,Ballard,DEF,DEF,,515000,1157,50.3
1001438,Bayley,Fritsch,FWD,FWD,,514000,1152,50.1
294508,Aidan,Corr,DEF,DEF,,511000,1145,49.8
1013973,Matthew,Owies,FWD,FWD,,501000,1124,48.9
1008091,Joel,Amartey,FWD,FWD,,499000,1070,48.6
298288,Darcy,Moore,DEF,DEF,,495000,1109,48.2
294592,Kamdyn,McIntosh,MID,MID,,486000,1043,47.4
1027925,Harvey,Thomas,FWD,FWD,,475000,1019,46.3
1005000,Laitham,Vandermeer,FWD,FWD,,458000,1026,44.6
293738,Sam,Frost,DEF,DEF,,384000,861,37.4
